	Opponent team names	Game date	stadiumID
95	OAK	2016-07-19T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
96	OAK	2016-07-20T15:35:00	['O.co Coliseum', 'Oakland', 'CA']
97	LAA	2016-07-22T20:10:00	['Minute Maid Park', 'Houston', 'TX']
98	LAA	2016-07-23T19:10:00	['Minute Maid Park', 'Houston', 'TX']
99	LAA	2016-07-24T14:10:00	['Minute Maid Park', 'Houston', 'TX']
100	NYY	2016-07-25T20:10:00	['Minute Maid Park', 'Houston', 'TX']
101	NYY	2016-07-26T20:10:00	['Minute Maid Park', 'Houston', 'TX']
102	NYY	2016-07-27T20:10:00	['Minute Maid Park', 'Houston', 'TX']
103	DET	2016-07-29T19:10:00	['Comerica Park', 'Detroit', 'MI']
104	DET	2016-07-30T19:10:00	['Comerica Park', 'Detroit', 'MI']
105	DET	2016-07-31T13:10:00	['Comerica Park', 'Detroit', 'MI']
106	TOR	2016-08-01T20:10:00	['Minute Maid Park', 'Houston', 'TX']
107	TOR	2016-08-02T20:10:00	['Minute Maid Park', 'Houston', 'TX']
108	TOR	2016-08-03T20:10:00	['Minute Maid Park', 'Houston', 'TX']
109	TOR	2016-08-04T20:10:00	['Minute Maid Park', 'Houston', 'TX']
110	TEX	2016-08-05T20:10:00	['Minute Maid Park', 'Houston', 'TX']
111	TEX	2016-08-06T19:10:00	['Minute Maid Park', 'Houston', 'TX']
112	TEX	2016-08-07T14:10:00	['Minute Maid Park', 'Houston', 'TX']
113	MIN	2016-08-08T20:10:00	['Target Field', 'Minneapolis', 'MN']
114	MIN	2016-08-09T20:10:00	['Target Field', 'Minneapolis', 'MN']
115	MIN	2016-08-10T20:10:00	['Target Field', 'Minneapolis', 'MN']
116	MIN	2016-08-11T19:10:00	['Target Field', 'Minneapolis', 'MN']
117	MIN	2016-08-11T13:10:00	['Target Field', 'Minneapolis', 'MN']
118	TOR	2016-08-12T19:07:00	['Rogers Centre', 'Toronto', 'ON']
119	TOR	2016-08-13T13:07:00	['Rogers Centre', 'Toronto', 'ON']
120	TOR	2016-08-14T13:07:00	['Rogers Centre', 'Toronto', 'ON']
121	STL	2016-08-16T20:10:00	['Minute Maid Park', 'Houston', 'TX']
122	STL	2016-08-17T14:10:00	['Minute Maid Park', 'Houston', 'TX']
123	BAL	2016-08-18T19:05:00	['Oriole Park at Camden Yards', 'Baltimore', 'MD']
124	BAL	2016-08-19T19:05:00	['Oriole Park at Camden Yards', 'Baltimore', 'MD']
125	BAL	2016-08-20T19:05:00	['Oriole Park at Camden Yards', 'Baltimore', 'MD']
126	BAL	2016-08-21T13:35:00	['Oriole Park at Camden Yards', 'Baltimore', 'MD']
127	PIT	2016-08-22T19:05:00	['PNC Park', 'Pittsburgh', 'PA']
128	PIT	2016-08-23T19:05:00	['PNC Park', 'Pittsburgh', 'PA']
129	PIT	2016-08-24T12:35:00	['PNC Park', 'Pittsburgh', 'PA']
130	TB	2016-08-26T20:10:00	['Minute Maid Park', 'Houston', 'TX']
131	TB	2016-08-27T19:10:00	['Minute Maid Park', 'Houston', 'TX']
132	TB	2016-08-28T14:10:00	['Minute Maid Park', 'Houston', 'TX']
133	OAK	2016-08-29T20:10:00	['Minute Maid Park', 'Houston', 'TX']
134	OAK	2016-08-30T20:10:00	['Minute Maid Park', 'Houston', 'TX']
135	OAK	2016-08-31T14:10:00	['Minute Maid Park', 'Houston', 'TX']
136	TEX	2016-09-02T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
137	TEX	2016-09-03T16:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
138	TEX	2016-09-04T15:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
139	CLE	2016-09-05T19:10:00	['Progressive Field', 'Cleveland', 'OH']
140	CLE	2016-09-06T19:10:00	['Progressive Field', 'Cleveland', 'OH']
141	CLE	2016-09-07T19:10:00	['Progressive Field', 'Cleveland', 'OH']
142	CLE	2016-09-08T12:10:00	['Progressive Field', 'Cleveland', 'OH']
143	CHC	2016-09-09T20:10:00	['Minute Maid Park', 'Houston', 'TX']
144	CHC	2016-09-10T13:05:00	['Minute Maid Park', 'Houston', 'TX']
