	Opponent team names	Game date	stadiumID
140	Indians	2016-09-06T19:10:00	['Progressive Field', 'Cleveland', 'OH']
141	Indians	2016-09-07T19:10:00	['Progressive Field', 'Cleveland', 'OH']
142	Indians	2016-09-08T12:10:00	['Progressive Field', 'Cleveland', 'OH']
143	Cubs	2016-09-09T20:10:00	['Minute Maid Park', 'Houston', 'TX']
144	Cubs	2016-09-10T13:05:00	['Minute Maid Park', 'Houston', 'TX']
145	Cubs	2016-09-11T20:05:00	['Minute Maid Park', 'Houston', 'TX']
146	Rangers	2016-09-12T20:10:00	['Minute Maid Park', 'Houston', 'TX']
147	Rangers	2016-09-13T20:10:00	['Minute Maid Park', 'Houston', 'TX']
148	Rangers	2016-09-14T20:10:00	['Minute Maid Park', 'Houston', 'TX']
149	Mariners	2016-09-16T22:10:00	['Safeco Field', 'Seattle', 'WA']
150	Mariners	2016-09-17T21:10:00	['Safeco Field', 'Seattle', 'WA']
151	Mariners	2016-09-18T16:10:00	['Safeco Field', 'Seattle', 'WA']
152	Athletics	2016-09-19T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
153	Athletics	2016-09-20T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
154	Athletics	2016-09-21T15:35:00	['O.co Coliseum', 'Oakland', 'CA']
155	Angels	2016-09-22T20:10:00	['Minute Maid Park', 'Houston', 'TX']
156	Angels	2016-09-23T20:10:00	['Minute Maid Park', 'Houston', 'TX']
157	Angels	2016-09-24T19:10:00	['Minute Maid Park', 'Houston', 'TX']
158	Angels	2016-09-25T14:10:00	['Minute Maid Park', 'Houston', 'TX']
159	Mariners	2016-09-26T20:10:00	['Minute Maid Park', 'Houston', 'TX']
160	Mariners	2016-09-27T20:10:00	['Minute Maid Park', 'Houston', 'TX']
161	Mariners	2016-09-28T14:10:00	['Minute Maid Park', 'Houston', 'TX']
162	Angels	2016-09-30T22:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
163	Angels	2016-10-01T21:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
164	Angels	2016-10-02T15:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
